Zip,Month,Number of Tarps
00915,03/2017,6
00962,03/2017,13
00956,03/2017,6
00979,03/2017,9
00920,03/2017,18
00918,03/2017,3
00912,03/2017,5
00901,03/2017,2
00911,03/2017,6
00915,10/2017,308
00962,10/2017,158
00956,10/2017,155
00979,10/2017,113
00920,10/2017,11
00918,10/2017,88
00912,10/2017,11
00901,10/2017,9
00911,10/2017,5
00915,11/2017,296
00962,11/2017,158
00956,11/2017,108
00979,11/2017,137
00920,11/2017,10
00918,11/2017,81
00912,11/2017,11
00901,11/2017,9
00911,11/2017,3
00915,02/2018,306
00962,02/2018,242
00956,02/2018,240
00979,02/2018,131
00920,02/2018,110
00918,02/2018,83
00912,02/2018,40
00901,02/2018,42
00911,02/2018,23
00915,12/2018,266
00962,12/2018,67
00956,12/2018,28
00979,12/2018,107
00920,12/2018,13
00918,12/2018,72
00912,12/2018,17
00901,12/2018,0
00911,12/2018,11
00915,11/2019,18
00962,11/2019,17
00956,11/2019,14
00979,11/2019,15
00920,11/2019,8
00918,11/2019,2
00912,11/2019,3
00901,11/2019,4
00911,11/2019,5
