Date,precip,source
1998-01-01,2.32585692,Rainfall
1998-02-01,5.34214115,Rainfall
1998-03-01,1.35079217,Rainfall
1998-04-01,0.623673499,Rainfall
1998-05-01,2.39341545,Rainfall
1998-06-01,1.89773679,Rainfall
1998-07-01,4.52087307,Rainfall
1998-08-01,3.86050391,Rainfall
1998-09-01,7.27476645,Rainfall
1998-10-01,1.6035502,Rainfall
1998-11-01,3.32536554,Rainfall
1998-12-01,0.73306185,Rainfall
1999-01-01,0.889087915,Rainfall
1999-02-01,0.563087761,Rainfall
1999-03-01,0.340991884,Rainfall
1999-04-01,0.638446093,Rainfall
1999-05-01,1.80698562,Rainfall
1999-06-01,10.7223949,Rainfall
1999-07-01,2.78691697,Rainfall
1999-08-01,5.04490662,Rainfall
1999-09-01,10.6630983,Rainfall
1999-10-01,10.87714,Rainfall
1999-11-01,1.05534506,Rainfall
1999-12-01,0.745254338,Rainfall
2000-01-01,0.592697084,Rainfall
2000-02-01,1.14551842,Rainfall
2000-03-01,0.868657649,Rainfall
2000-04-01,1.39073622,Rainfall
2000-05-01,0.693498611,Rainfall
2000-06-01,3.82361269,Rainfall
2000-07-01,3.62928653,Rainfall
2000-08-01,4.25927973,Rainfall
2000-09-01,4.50805759,Rainfall
2000-10-01,3.37428927,Rainfall
2000-11-01,0.474159211,Rainfall
2000-12-01,0.83589983,Rainfall
2001-01-01,0.785155058,Rainfall
2001-02-01,0.323010594,Rainfall
2001-03-01,1.29993737,Rainfall
2001-04-01,1.85181808,Rainfall
2001-05-01,4.07985163,Rainfall
2001-06-01,4.50411177,Rainfall
2001-07-01,7.75272465,Rainfall
2001-08-01,5.42288733,Rainfall
2001-09-01,10.8218203,Rainfall
2001-10-01,4.47685194,Rainfall
2001-11-01,3.53421211,Rainfall
2001-12-01,1.82996047,Rainfall
2002-01-01,0.530116856,Rainfall
2002-02-01,2.23272824,Rainfall
2002-03-01,0.799659312,Rainfall
2002-04-01,0.671180248,Rainfall
2002-05-01,2.89310122,Rainfall
2002-06-01,11.0370817,Rainfall
2002-07-01,4.74894333,Rainfall
2002-08-01,3.58111906,Rainfall
2002-09-01,5.90521955,Rainfall
2002-10-01,1.29176188,Rainfall
2002-11-01,1.78094137,Rainfall
