datetime,stream_height,source
7/4/25 0:00,7.64,Guadalupe River (Hunt)
7/4/25 0:05,7.66,Guadalupe River (Hunt)
7/4/25 0:10,7.68,Guadalupe River (Hunt)
7/4/25 0:15,7.69,Guadalupe River (Hunt)
7/4/25 0:20,7.68,Guadalupe River (Hunt)
7/4/25 0:25,7.68,Guadalupe River (Hunt)
7/4/25 0:30,7.68,Guadalupe River (Hunt)
7/4/25 0:35,7.67,Guadalupe River (Hunt)
7/4/25 0:40,7.67,Guadalupe River (Hunt)
7/4/25 0:45,7.67,Guadalupe River (Hunt)
7/4/25 0:50,7.67,Guadalupe River (Hunt)
7/4/25 0:55,7.67,Guadalupe River (Hunt)
7/4/25 1:00,7.68,Guadalupe River (Hunt)
7/4/25 1:05,7.68,Guadalupe River (Hunt)
7/4/25 1:10,7.69,Guadalupe River (Hunt)
7/4/25 1:15,7.69,Guadalupe River (Hunt)
7/4/25 1:20,7.7,Guadalupe River (Hunt)
7/4/25 1:25,7.71,Guadalupe River (Hunt)
7/4/25 1:30,7.71,Guadalupe River (Hunt)
7/4/25 1:35,7.72,Guadalupe River (Hunt)
7/4/25 1:40,7.75,Guadalupe River (Hunt)
7/4/25 1:45,7.78,Guadalupe River (Hunt)
7/4/25 1:50,7.83,Guadalupe River (Hunt)
7/4/25 1:55,7.89,Guadalupe River (Hunt)
7/4/25 2:00,7.98,Guadalupe River (Hunt)
7/4/25 2:05,8.13,Guadalupe River (Hunt)
7/4/25 2:10,8.27,Guadalupe River (Hunt)
7/4/25 2:15,8.4,Guadalupe River (Hunt)
7/4/25 2:20,8.54,Guadalupe River (Hunt)
7/4/25 2:25,8.7,Guadalupe River (Hunt)
7/4/25 2:30,8.82,Guadalupe River (Hunt)
7/4/25 2:35,8.93,Guadalupe River (Hunt)
7/4/25 2:40,9,Guadalupe River (Hunt)
7/4/25 2:45,9.06,Guadalupe River (Hunt)
7/4/25 2:50,9.15,Guadalupe River (Hunt)
7/4/25 2:55,9.41,Guadalupe River (Hunt)
7/4/25 3:00,10.1,Guadalupe River (Hunt)
7/4/25 3:05,11.03,Guadalupe River (Hunt)
7/4/25 3:10,11.93,Guadalupe River (Hunt)
7/4/25 3:15,13.03,Guadalupe River (Hunt)
7/4/25 3:20,13.99,Guadalupe River (Hunt)
7/4/25 3:25,14.94,Guadalupe River (Hunt)
7/4/25 3:30,15.9,Guadalupe River (Hunt)
7/4/25 3:35,16.81,Guadalupe River (Hunt)
7/4/25 3:40,17.52,Guadalupe River (Hunt)
7/4/25 3:45,18.39,Guadalupe River (Hunt)
7/4/25 3:50,19.35,Guadalupe River (Hunt)
7/4/25 3:55,20.3,Guadalupe River (Hunt)
